Time, V_g(t), V_g(0), V_g(t)/V_g(0)
0.000250, 0.026121, 0.026121, 100.000000
0.000500, 0.026121, 0.026121, 100.000261
0.000750, 0.026121, 0.026121, 100.000267
0.001000, 0.026121, 0.026121, 100.000272
0.001250, 0.026121, 0.026121, 100.000278
0.001500, 0.026121, 0.026121, 100.000283
0.001750, 0.026121, 0.026121, 100.000289
0.002000, 0.026121, 0.026121, 100.000294
0.002250, 0.026121, 0.026121, 100.000300
0.002500, 0.026121, 0.026121, 100.000305
0.002750, 0.026121, 0.026121, 100.000310
0.003000, 0.026121, 0.026121, 100.000316
0.003250, 0.026121, 0.026121, 100.000321
0.003500, 0.026121, 0.026121, 100.000327
0.003750, 0.026121, 0.026121, 100.000332
0.004000, 0.026121, 0.026121, 100.000337
0.004250, 0.026121, 0.026121, 100.000343
0.004500, 0.026121, 0.026121, 100.000348
0.004750, 0.026121, 0.026121, 100.000354
0.005000, 0.026121, 0.026121, 100.000359
0.005250, 0.026121, 0.026121, 100.000364
0.005500, 0.026121, 0.026121, 100.000370
0.005750, 0.026121, 0.026121, 100.000375
0.006000, 0.026121, 0.026121, 100.000381
0.006250, 0.026121, 0.026121, 100.000386
0.006500, 0.026121, 0.026121, 100.000392
0.006750, 0.026121, 0.026121, 100.000397
0.007000, 0.026121, 0.026121, 100.000403
0.007250, 0.026121, 0.026121, 100.000408
0.007500, 0.026121, 0.026121, 100.000414
0.007750, 0.026121, 0.026121, 100.000419
0.008000, 0.026121, 0.026121, 100.000425
0.008250, 0.026121, 0.026121, 100.000430
0.008500, 0.026121, 0.026121, 100.000435
0.008750, 0.026121, 0.026121, 100.000441
0.009000, 0.026121, 0.026121, 100.000446
0.009250, 0.026121, 0.026121, 100.000452
0.009500, 0.026121, 0.026121, 100.000457
0.009750, 0.026121, 0.026121, 100.000463
0.010000, 0.026121, 0.026121, 100.000468
0.010250, 0.026121, 0.026121, 100.000473
0.010500, 0.026121, 0.026121, 100.000479
0.010750, 0.026121, 0.026121, 100.000484
0.011000, 0.026121, 0.026121, 100.000489
0.011250, 0.026121, 0.026121, 100.000495
0.011500, 0.026121, 0.026121, 100.000500
0.011750, 0.026121, 0.026121, 100.000505
0.012000, 0.026121, 0.026121, 100.000511
0.012250, 0.026121, 0.026121, 100.000516
0.012500, 0.026121, 0.026121, 100.000521
0.012750, 0.026121, 0.026121, 100.000526
0.013000, 0.026121, 0.026121, 100.000532
0.013250, 0.026121, 0.026121, 100.000537
0.013500, 0.026121, 0.026121, 100.000542
0.013750, 0.026121, 0.026121, 100.000547
0.014000, 0.026121, 0.026121, 100.000552
0.014250, 0.026121, 0.026121, 100.000557
0.014500, 0.026121, 0.026121, 100.000562
0.014750, 0.026121, 0.026121, 100.000568
0.015000, 0.026121, 0.026121, 100.000573
0.015250, 0.026121, 0.026121, 100.000578
0.015500, 0.026121, 0.026121, 100.000583
0.015750, 0.026121, 0.026121, 100.000588
0.016000, 0.026121, 0.026121, 100.000593
0.016250, 0.026121, 0.026121, 100.000597
0.016500, 0.026121, 0.026121, 100.000602
0.016750, 0.026121, 0.026121, 100.000607
0.017000, 0.026121, 0.026121, 100.000612
0.017250, 0.026121, 0.026121, 100.000617
0.017500, 0.026121, 0.026121, 100.000622
0.017750, 0.026121, 0.026121, 100.000626
0.018000, 0.026121, 0.026121, 100.000631
0.018250, 0.026121, 0.026121, 100.000636
0.018500, 0.026121, 0.026121, 100.000640
0.018750, 0.026121, 0.026121, 100.000645
0.019000, 0.026121, 0.026121, 100.000650
0.019250, 0.026121, 0.026121, 100.000654
0.019500, 0.026121, 0.026121, 100.000659
0.019750, 0.026121, 0.026121, 100.000663
0.020000, 0.026121, 0.026121, 100.000668
0.020250, 0.026121, 0.026121, 100.000673
0.020500, 0.026121, 0.026121, 100.000677
0.020750, 0.026121, 0.026121, 100.000682
0.021000, 0.026121, 0.026121, 100.000686
0.021250, 0.026121, 0.026121, 100.000690
0.021500, 0.026121, 0.026121, 100.000695
0.021750, 0.026121, 0.026121, 100.000699
0.022000, 0.026121, 0.026121, 100.000704
0.022250, 0.026121, 0.026121, 100.000708
0.022500, 0.026121, 0.026121, 100.000712
0.022750, 0.026121, 0.026121, 100.000717
0.023000, 0.026121, 0.026121, 100.000721
0.023250, 0.026121, 0.026121, 100.000725
0.023500, 0.026121, 0.026121, 100.000729
0.023750, 0.026121, 0.026121, 100.000734
0.024000, 0.026121, 0.026121, 100.000738
0.024250, 0.026121, 0.026121, 100.000742
0.024500, 0.026121, 0.026121, 100.000746
0.024750, 0.026121, 0.026121, 100.000750
0.025000, 0.026121, 0.026121, 100.000754
0.025250, 0.026121, 0.026121, 100.000758
0.025500, 0.026121, 0.026121, 100.000762
0.025750, 0.026121, 0.026121, 100.000766
0.026000, 0.026121, 0.026121, 100.000770
0.026250, 0.026121, 0.026121, 100.000774
0.026500, 0.026121, 0.026121, 100.000778
0.026750, 0.026121, 0.026121, 100.000782
0.027000, 0.026121, 0.026121, 100.000786
0.027250, 0.026121, 0.026121, 100.000790
0.027500, 0.026121, 0.026121, 100.000794
0.027750, 0.026121, 0.026121, 100.000798
0.028000, 0.026121, 0.026121, 100.000802
0.028250, 0.026121, 0.026121, 100.000806
0.028500, 0.026121, 0.026121, 100.000809
0.028750, 0.026121, 0.026121, 100.000813
0.029000, 0.026121, 0.026121, 100.000817
0.029250, 0.026121, 0.026121, 100.000821
0.029500, 0.026121, 0.026121, 100.000824
0.029750, 0.026121, 0.026121, 100.000828
0.030000, 0.026121, 0.026121, 100.000832
0.030250, 0.026121, 0.026121, 100.000836
0.030500, 0.026121, 0.026121, 100.000839
0.030750, 0.026121, 0.026121, 100.000843
0.031000, 0.026121, 0.026121, 100.000847
0.031250, 0.026121, 0.026121, 100.000851
0.031500, 0.026121, 0.026121, 100.000854
0.031750, 0.026121, 0.026121, 100.000858
0.032000, 0.026121, 0.026121, 100.000862
0.032250, 0.026121, 0.026121, 100.000865
0.032500, 0.026121, 0.026121, 100.000869
0.032750, 0.026121, 0.026121, 100.000873
0.033000, 0.026121, 0.026121, 100.000876
0.033250, 0.026121, 0.026121, 100.000880
0.033500, 0.026121, 0.026121, 100.000884
0.033750, 0.026121, 0.026121, 100.000887
0.034000, 0.026121, 0.026121, 100.000891
0.034250, 0.026121, 0.026121, 100.000895
0.034500, 0.026121, 0.026121, 100.000898
0.034750, 0.026121, 0.026121, 100.000902
0.035000, 0.026121, 0.026121, 100.000906
0.035250, 0.026121, 0.026121, 100.000909
0.035500, 0.026121, 0.026121, 100.000913
0.035750, 0.026121, 0.026121, 100.000917
0.036000, 0.026121, 0.026121, 100.000920
0.036250, 0.026121, 0.026121, 100.000924
0.036500, 0.026121, 0.026121, 100.000928
0.036750, 0.026121, 0.026121, 100.000931
0.037000, 0.026121, 0.026121, 100.000935
0.037250, 0.026121, 0.026121, 100.000939
0.037500, 0.026121, 0.026121, 100.000942
0.037750, 0.026121, 0.026121, 100.000946
0.038000, 0.026121, 0.026121, 100.000949
0.038250, 0.026121, 0.026121, 100.000953
0.038500, 0.026121, 0.026121, 100.000957
0.038750, 0.026121, 0.026121, 100.000960
0.039000, 0.026121, 0.026121, 100.000964
0.039250, 0.026121, 0.026121, 100.000967
